,name,first_name,surname,orcid,scopus_id
84,Jurriaan H. Spaaks,Jurriaan H.,Spaaks,0000-0002-7064-4069,55850186600
85,Jesus Garcia Gonzalez,Jesus,Garcia Gonzalez,0000-0002-2170-3253,nan
86,Alessio Sclocco,Alessio,Sclocco,0000-0003-3278-0518,55369178800
87,Elena Ranguelova,Elena,Ranguelova,0000-0002-9834-1756,23091838000
88,Joris Borgdorff,Joris,Borgdorff,0000-0001-7911-9490,42360989200
89,Artur Palha,Artur,Palha,0000-0002-3217-0747,23012717800
90,Leon Oostrum,Leon,Oostrum,0000-0001-8724-8372,57200911584
91,Susan Branchett,Susan,Branchett,0000-0002-5972-6813,6506741322
92,Kody Moodley,Kody,Moodley,0000-0001-5666-1658,55511931700
93,Aron Jansen,Aron,Jansen,0000-0002-4764-9347,57196864227
94,Parisa Noorishad,Parisa,Noorishad,,54393873500
95,Sander van Rijn,Sander,van Rijn,0000-0001-6159-041X,57188809615
96,Giulia Crocioni,Giulia,Crocioni,0000-0002-0823-0121,57205436134
97,Mateusz Kuzak,Mateusz,Kuzak,0000-0003-0087-6021,14325240700
98,Floris-Jan Willemsen,Floris-Jan,Willemsen,0000-0003-2295-8263,57370151500
99,Berend Weel,Berend,Weel,0000-0002-9693-9332,55171306200
100,Carlos Martinez-Ortiz,Carlos,Martinez-Ortiz,0000-0001-5565-7577,24173631200
101,Cunliang Geng,Cunliang,Geng,0000-0002-1409-8358,57904531300
102,Victor Azizi,Victor,Azizi,0000-0003-3535-8320,57195282624
103,Niels Drost,Niels,Drost,0000-0001-9795-7981,15065185400
104,Milena Ivanova,Milena,Ivanova,,nan
105,Maurice de Kleijn,Maurice,de Kleijn,0000-0003-2379-191X,56543379300
106,Janneke van der Zwaan,Janneke,van der Zwaan,0000-0002-8329-7000,55392000700
107,Gijs van den Oord,Gijs,van den Oord,0000-0001-8367-1333,57195348393
108,Oscar Martinez Rubi,Oscar,Martinez Rubi,0000-0002-2970-893X,57510249200
109,Rob van Nieuwpoort,Rob,van Nieuwpoort,0000-0002-2947-9444,6602660244
110,Adithya Vijaykumar,Adithya,Vijaykumar,,56989634100
111,Flavio Hafner,Flavio,Hafner,,nan
112,Stefan Verhoeven,Stefan,Verhoeven,0000-0002-5821-2060,23096348600
113,Faruk Diblen,Faruk,Diblen,0000-0002-0989-929X,57216997004
114,Laura Ootes,Laura,Ootes,0000-0002-2800-8309,57191279022
115,Martine de Vos,Martine,de Vos,0000-0001-5301-1713,57205740504
116,Ji Qi,Ji,Qi,0000-0001-8074-2730,57976146800
117,Wilco Hazeleger,Wilco,Hazeleger,0000-0002-4566-958X,6507337066
118,Deekshitha K.,Deekshitha,K.,0000-0003-1831-8941,nan
119,Marijn Sanders,Marijn,Sanders,,56533143200
120,Scott Lusher,Scott,Lusher,0000-0003-2401-4223,14034200400
121,Maaike Jong,Maaike,Jong,0000-0003-4803-7411,39761504300
122,Carlos M. R. Rocha,Carlos M.,R. Rocha,0000-0002-4118-8308,56232704500
123,Breixo Solino Fernandez,Breixo,Solino Fernandez,57377827100,nan
124,Lode Kulik,Lode,Kulik,,nan
125,Valentina Maccatrozzo,Valentina,Maccatrozzo,0000-0001-9568-9581,55454127600
126,Simon Rogers,Simon,Rogers,,nan
127,Adam Belloum,Adam,Belloum,0000-0001-6306-6937,6603093115
128,Niek de Jonge,Niek,de Jonge,0000-0002-3054-6210,57803280200
129,Romulo Goncalves,Romulo,Goncalves,0000-0003-2225-1428,34880075200
130,Ewan Jacov Cahen,Ewan Jacov,Cahen,,57193025740
131,Dusan Mijatovic,Dusan,Mijatovic,0000-0002-1898-4461,nan
